@relation 'deneme-weka.filters.unsupervised.attribute.Remove-V-R3,7-12,16-17,22,24,26'

@attribute brand {alfa-romero,audi,bmw,chevrolet,dodge,mercedes-benz,mazda,honda,isuzu,jaguar,mitsubishi,mercury,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute engine-to-whell {4wd,fwd,rwd}
@attribute engine-location {front,rear}
@attribute whell-base numeric
@attribute length numeric
@attribute width numeric
@attribute no-of-cylinder {eight,five,four,six,three,twelve,two}
@attribute engine-size numeric
@attribute hp numeric
@attribute city-mpg numeric
@attribute price numeric

@data
subaru,sedan,fwd,front,97.2,172,65.4,four,108,94,26,9960
subaru,sedan,4wd,front,97,172,65.4,four,108,82,24,9233
subaru,sedan,4wd,front,97,172,65.4,four,108,111,24,11259
subaru,wagon,fwd,front,97,173.5,65.4,four,108,82,28,7463
subaru,wagon,fwd,front,97,173.5,65.4,four,108,94,25,10198
subaru,wagon,4wd,front,96.9,173.6,65.4,four,108,82,23,8013
subaru,wagon,4wd,front,96.9,173.6,65.4,four,108,111,23,11694
toyota,hatchback,fwd,front,95.7,158.7,63.6,four,92,62,35,5348
toyota,hatchback,fwd,front,95.7,158.7,63.6,four,92,62,31,6338
toyota,hatchback,fwd,front,95.7,158.7,63.6,four,92,62,31,6488
toyota,wagon,fwd,front,95.7,169.7,63.6,four,92,62,31,6918
toyota,wagon,4wd,front,95.7,169.7,63.6,four,92,62,27,7898
toyota,wagon,4wd,front,95.7,169.7,63.6,four,92,62,27,8778
toyota,sedan,fwd,front,95.7,166.3,64.4,four,98,70,30,6938
toyota,hatchback,fwd,front,95.7,166.3,64.4,four,98,70,30,7198
toyota,sedan,fwd,front,95.7,166.3,64.4,four,110,56,34,7898
toyota,hatchback,fwd,front,95.7,166.3,64.4,four,110,56,38,7788
toyota,sedan,fwd,front,95.7,166.3,64.4,four,98,70,38,7738
toyota,hatchback,fwd,front,95.7,166.3,64.4,four,98,70,28,8358
toyota,sedan,fwd,front,95.7,166.3,64.4,four,98,70,28,9258
toyota,sedan,rwd,front,94.5,168.7,64,four,98,70,29,8058
toyota,hatchback,rwd,front,94.5,168.7,64,four,98,70,29,8238
toyota,sedan,rwd,front,94.5,168.7,64,four,98,112,26,9298
toyota,hatchback,rwd,front,94.5,168.7,64,four,98,112,26,9538
toyota,hardtop,rwd,front,98.4,176.2,65.6,four,146,116,24,8449
toyota,hardtop,rwd,front,98.4,176.2,65.6,four,146,116,24,9639
toyota,hatchback,rwd,front,98.4,176.2,65.6,four,146,116,24,9989
toyota,hardtop,rwd,front,98.4,176.2,65.6,four,146,116,24,11199
toyota,hatchback,rwd,front,98.4,176.2,65.6,four,146,116,24,11549
toyota,convertible,rwd,front,98.4,176.2,65.6,four,146,116,24,17669
toyota,sedan,fwd,front,102.4,175.6,66.5,four,122,92,29,8948
toyota,sedan,fwd,front,102.4,175.6,66.5,four,110,73,30,10698
toyota,hatchback,fwd,front,102.4,175.6,66.5,four,122,92,27,9988
toyota,sedan,fwd,front,102.4,175.6,66.5,four,122,92,27,10898
toyota,hatchback,fwd,front,102.4,175.6,66.5,four,122,92,27,11248
toyota,hatchback,rwd,front,102.9,183.5,67.7,six,171,161,20,16558
toyota,hatchback,rwd,front,102.9,183.5,67.7,six,171,161,19,15998
toyota,sedan,rwd,front,104.5,187.8,66.5,six,171,156,20,15690
toyota,wagon,rwd,front,104.5,187.8,66.5,six,161,156,19,15750
volkswagen,sedan,fwd,front,97.3,171.7,65.5,four,97,52,37,7775
volkswagen,sedan,fwd,front,97.3,171.7,65.5,four,109,85,27,7975
volkswagen,sedan,fwd,front,97.3,171.7,65.5,four,97,52,37,7995
volkswagen,sedan,fwd,front,97.3,171.7,65.5,four,109,85,27,8195
volkswagen,sedan,fwd,front,97.3,171.7,65.5,four,109,85,27,8495
volkswagen,sedan,fwd,front,97.3,171.7,65.5,four,97,68,37,9495
volkswagen,sedan,fwd,front,97.3,171.7,65.5,four,109,100,26,9995
volkswagen,convertible,fwd,front,94.5,159.3,64.2,four,109,90,24,11595
volkswagen,hatchback,fwd,front,94.5,165.7,64,four,109,90,24,9980
volkswagen,sedan,fwd,front,100.4,180.2,66.9,five,136,110,19,13295
volkswagen,sedan,fwd,front,100.4,180.2,66.9,four,97,68,33,13845
volkswagen,wagon,fwd,front,100.4,183.1,66.9,four,109,88,25,12290
volvo,sedan,rwd,front,104.3,188.8,67.2,four,141,114,23,12940
volvo,wagon,rwd,front,104.3,188.8,67.2,four,141,114,23,13415
volvo,sedan,rwd,front,104.3,188.8,67.2,four,141,114,24,15985
volvo,wagon,rwd,front,104.3,188.8,67.2,four,141,114,24,16515
volvo,sedan,rwd,front,104.3,188.8,67.2,four,130,162,17,18420
volvo,wagon,rwd,front,104.3,188.8,67.2,four,130,162,17,18950
volvo,sedan,rwd,front,109.1,188.8,68.9,four,141,114,23,16845
volvo,sedan,rwd,front,109.1,188.8,68.8,four,141,160,19,19045
volvo,sedan,rwd,front,109.1,188.8,68.9,six,173,134,18,21485
volvo,sedan,rwd,front,109.1,188.8,68.9,six,145,106,26,22470
volvo,sedan,rwd,front,109.1,188.8,68.9,four,141,114,19,22625
