@relation 'deneme-weka.filters.unsupervised.attribute.Remove-V-R16,2,15,3,17,9,12,22-23,14,26'

@attribute no-of-cylinder {eight,five,four,six,three,twelve,two}
@attribute normalized-loses numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute brand {alfa-romero,audi,bmw,chevrolet,dodge,mercedes-benz,mazda,honda,isuzu,jaguar,mitsubishi,mercury,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute engine-size numeric
@attribute engine-location {front,rear}
@attribute width numeric
@attribute hp numeric
@attribute peak-rpm numeric
@attribute curb-weight numeric
@attribute price numeric

@data
five,?,ohc,volkswagen,136,front,66.9,110,5500,2661,13295
four,?,ohc,volkswagen,97,front,66.9,68,4500,2579,13845
four,?,ohc,volkswagen,109,front,66.9,88,5500,2563,12290
four,103,ohc,volvo,141,front,67.2,114,5400,2912,12940
four,74,ohc,volvo,141,front,67.2,114,5400,3034,13415
four,103,ohc,volvo,141,front,67.2,114,5400,2935,15985
four,74,ohc,volvo,141,front,67.2,114,5400,3042,16515
four,103,ohc,volvo,130,front,67.2,162,5100,3045,18420
four,74,ohc,volvo,130,front,67.2,162,5100,3157,18950
four,95,ohc,volvo,141,front,68.9,114,5400,2952,16845
four,95,ohc,volvo,141,front,68.8,160,5300,3049,19045
six,95,ohcv,volvo,173,front,68.9,134,5500,3012,21485
six,95,ohc,volvo,145,front,68.9,106,4800,3217,22470
four,95,ohc,volvo,141,front,68.9,114,5400,3062,22625
